date2020,count2020,avg2020,positive
2020-03-01,179723,1.5568608100303354,0
2020-03-02,193508,1.4624447947880015,0
2020-03-03,222917,1.4571587814415892,1
2020-03-04,229734,1.44873874230257,1
2020-03-05,244448,1.4573148094676314,3
2020-03-06,243741,1.4863784736443633,25
2020-03-07,208200,1.5691667149674453,36
2020-03-08,165803,1.5493187645794124,60
2020-03-09,175572,1.4560691642651298,88
2020-03-10,184068,1.4513159415186014,151
2020-03-11,182630,1.446666962591413,195
2020-03-12,171077,1.4393427263455016,251
2020-03-13,134702,1.456197710592286,353
2020-03-14,89650,1.5307900677200903,517
2020-03-15,59871,1.4961912356004954,648
2020-03-16,64201,1.3978963161591011,942
2020-03-17,45617,1.3688465684513116,1374
2020-03-18,36244,1.357505171583213,2383
2020-03-19,29803,1.3510583198093988,4152
2020-03-20,27622,1.3586206896551725,7102
2020-03-21,16166,1.3468197095567251,10356
2020-03-22,10340,1.3247305448432711,15168
2020-03-23,13576,1.3038372985418265,20875
2020-03-24,11851,1.2957167832167833,25665
2020-03-25,11205,1.277752059994445,30810
2020-03-26,10663,1.3146405355583584,37258
2020-03-27,11778,1.3018653121989667,44637
2020-03-28,7633,1.3070044709388973,52318
2020-03-29,5540,1.2744842965991452,59513
2020-03-30,9579,1.2989543203082003,66497
2020-03-31,9446,1.2565944550454597,75795
2020-04-01,9468,1.290968395006186,83712
2020-04-02,8786,1.2746631376323387,92381
2020-04-03,10309,1.2495866060355518,102863
2020-04-04,6396,1.3155600268276324,113704
2020-04-05,5046,1.2512148742869216,122031
2020-04-06,8270,1.288681204569055,130689
2020-04-07,7886,1.2805676855895196,138863
2020-04-08,7915,1.2728136882129277,149316
2020-04-09,7827,1.2867393404167242,159937
2020-04-10,8585,1.2997114540208254,170512
2020-04-11,6267,1.356652949245542,180458
2020-04-12,4432,1.284491193737769,188694
2020-04-13,7469,1.3027721628645683,195031
2020-04-14,8329,1.3094001558036874,202208
2020-04-15,8303,1.3086146227029845,213779
2020-04-16,8494,1.2983552212163714,222284
2020-04-17,9669,1.304826512455516,229642
2020-04-18,5808,1.3338248847926266,236732
2020-04-19,5122,1.288064986461154,242786
2020-04-20,8134,1.314470386492547,247512
2020-04-21,8085,1.3074224021592442,251690
2020-04-22,8624,1.3215490318550907,257216
2020-04-23,8720,1.3221343873517786,263460
2020-04-24,9395,1.3163854864802405,271590
2020-04-25,7219,1.301086628433444,282143
2020-04-26,4992,1.2712613209631103,288045
2020-04-27,8904,1.3130905883835202,291996
2020-04-28,9457,1.2965483714146815,295106
2020-04-29,9683,1.2974303554274735,299691
2020-04-30,10283,1.2544705882352942,304372
2020-05-01,11893,1.2795808322311528,308314
2020-05-02,8450,1.312874043145442,312977
2020-05-03,6414,1.3509859154929578,316415
2020-05-04,10799,1.3056090651558074,318953
2020-05-05,11205,1.312758582131276,321192
2020-05-06,11960,1.3013785120488266,323978
2020-05-07,12062,1.2971106862120247,327469
2020-05-08,13135,1.2756183745583038,330407
2020-05-09,8609,1.2871130309575234,333122
2020-05-10,7605,1.2728592162554426,335395
2020-05-11,11885,1.2918585064570467,337055
2020-05-12,12190,1.269094531768873,338485
2020-05-13,13019,1.2997094229970942,340661
2020-05-14,13210,1.27484901218139,343051
2020-05-15,14576,1.2865326907338366,345813
2020-05-16,10257,1.3159367396593673,348232
2020-05-17,7403,1.3051611825622182,350121
2020-05-18,12073,1.3150724919723655,351371
2020-05-19,12224,1.2978978425225889,352845
2020-05-20,12677,1.3346171070309,354370
2020-05-21,12807,1.3200457585357268,356458
2020-05-22,13993,1.327108138965911,358154
2020-05-23,8009,1.3227528495166643,359926
2020-05-24,7984,1.3229152067274002,361515
2020-05-25,7664,1.3447553493939848,362764
2020-05-26,13078,1.3225917038052795,363836
2020-05-27,14262,1.3529224144805039,364965
2020-05-28,13584,1.3217326609903282,366733
2020-05-29,15173,1.3579815695600475,368284
2020-05-30,11331,1.391737329915204,369660
2020-05-31,8826,1.3374202427123734,370770
2020-06-01,14670,1.3395640986832147,371711
2020-06-02,14958,1.3459317585301838,373040
2020-06-03,14990,1.3221702812476053,374085
2020-06-04,15836,1.32513700605711,375133
2020-06-05,16501,1.3157167530224525,376208
2020-06-06,12131,1.3848813305924126,377316
2020-06-07,9907,1.335972461273666,378097
2020-06-08,16974,1.3443522571372575,378799
2020-06-09,17721,1.343007584780292,379482
2020-06-10,18018,1.2981400773433185,380156
2020-06-11,17823,1.3418437072928313,380892
2020-06-12,20108,1.341778440139096,381714
2020-06-13,14072,1.3951087819596633,382630
2020-06-14,10891,1.32919700543534,383324
2020-06-15,18274,1.3321253850335206,383944
2020-06-16,19661,1.3451297607010448,384575
2020-06-17,19975,1.3313153549807375,385142
2020-06-18,20301,1.3403130059363195,385760
2020-06-19,22290,1.35239651416122,386556
2020-06-20,14803,1.3967923967923968,387272
2020-06-21,12829,1.3861886017456786,387936
2020-06-22,23092,1.3827420184172392,388488
2020-06-23,24666,1.3584047345640844,389085
2020-06-24,24945,1.3659852109612876,389666
2020-06-25,25696,1.3668312028013332,390415
2020-06-26,26228,1.3942824093200032,391220
2020-06-27,17215,1.3939565272019099,391923
2020-06-28,15201,1.3864118895966029,392539
2020-06-29,24842,1.3884186308981203,392930
2020-06-30,25153,1.356825150062616,393454
